"C57BL6_0dpi_rep1","C57BL6_0dpi_rep2","C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi_rep2","C57BL6_2ndInf_5dpi_rep1","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi_rep2","NMRI_2ndInf_0dpi_rep1","NMRI_2ndInf_0dpi_rep2","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi_rep2","Rag_0dpi_rep1","Rag_0dpi_rep2","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi_rep2","Rag_2ndInf_5dpi_rep1"
"ENSMUSG00000079017",49,56,365,201,160,568,1034,1512,1193,2108,298,1342,83,101,686,6171,2498,283,880,109,63,75,59
"ENSMUSG00000079018",9,5,10607,2153,11306,119463,152157,304088,162946,513640,4058,33706,332,1119,37854,307809,27967,13161,1766,6010,26229,12048,17345
"ENSMUSG00000079019",105,119,140,59,211,168,741,345,403,497,49,442,227,238,345,2357,598,386,191,358,283,211,279
"ENSMUSG00000079020",2001,2573,1467,421,1596,5687,13729,3955,10921,7325,503,3423,10943,2592,3450,19613,3300,3680,875,1773,1605,1384,2346
"ENSMUSG00000079022",2,0,1,3,3,0,3,0,0,0,0,0,0,0,2,0,2,2,1,0,1,0,0
"ENSMUSG00000079024",2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"ENSMUSG00000079025",43,30,40,4,13,405,1904,160,517,188,0,8,2834,59,36,543,14,56,22,50,89,60,102
"ENSMUSG00000079029",0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,1
"ENSMUSG00000079030",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079033",4,9,9,22,45,22,69,21,60,80,5,109,54,23,16,237,101,9,5,7,3,0,4
"ENSMUSG00000079034",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0
"ENSMUSG00000079036",1044,2026,2456,389,2249,8105,22667,4303,11663,10889,525,4359,9554,2324,4227,17952,4549,3734,1016,1322,1682,1532,3440
"ENSMUSG00000079037",6946,7298,2115,1078,2277,13751,34493,9363,29933,12344,363,3173,40289,9790,8029,45741,5055,16270,2888,3657,1632,1441,2762
"ENSMUSG00000079038",0,5,2,0,2,16,45,17,17,128,3,27,30,7,5,152,16,6,0,1,1,0,4
"ENSMUSG00000079039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079042",0,1,0,0,2,1,2,0,6,2,0,0,18,2,1,13,1,0,0,0,0,0,0
"ENSMUSG00000079043",322,531,522,129,506,2698,4914,1220,3934,3410,176,1245,2485,529,832,6238,1104,1100,293,406,525,382,932
"ENSMUSG00000079045",0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,5,1,3,0,0,0,1,0
"ENSMUSG00000079048",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000079049",16,10,3,4,5,7,37,17,27,17,0,9,83,10,3,10,10,25,3,13,2,1,2
"ENSMUSG00000079051",0,0,1,0,1,0,3,0,4,0,0,0,2,0,1,2,1,1,0,0,0,0,0
"ENSMUSG00000079053",0,1,15,0,3,2,20,17,15,12,10,19,0,0,2,41,6,0,1,0,3,0,5
"ENSMUSG00000079055",0,3,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,4,1,3,0
"ENSMUSG00000079056",11,51,24,19,48,33,93,20,56,64,5,11,99,32,70,88,99,54,19,16,22,14,25
"ENSMUSG00000079057",291,479,251,112,188,1077,1615,495,1129,1919,64,348,1668,504,365,2909,486,734,180,297,166,92,202
"ENSMUSG00000079058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079061",0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2
"ENSMUSG00000079064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079065",151,236,205,38,108,1075,2363,494,1401,1156,48,300,1402,290,256,2105,251,480,77,210,162,122,376
"ENSMUSG00000079067",0,0,0,0,0,0,4,0,5,0,0,0,2,0,0,6,1,0,0,0,0,0,0
"ENSMUSG00000079069",0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"ENSMUSG00000079070",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSMUSG00000079071",0,0,1,7,0,8,29,31,38,285,24,124,16,26,26,631,104,44,0,0,0,0,0
"ENSMUSG00000079076",2,2,4,2,1,41,75,37,31,65,6,20,40,7,10,67,6,11,1,8,3,6,12
"ENSMUSG00000079083",218,328,268,92,134,1141,2353,1009,1570,2148,45,381,1764,305,332,2836,365,535,171,186,174,156,335
"ENSMUSG00000079084",208,306,245,114,188,1792,2971,945,2017,2766,93,742,1876,355,422,4644,553,713,152,221,239,157,372
"ENSMUSG00000079091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079101",0,0,0,0,0,1,0,2,3,1,0,0,1,1,0,1,0,1,0,0,0,0,1
"ENSMUSG00000079103",16,25,12,3,16,872,2815,776,1504,836,17,221,742,740,558,4052,297,561,2,30,8,10,9
"ENSMUSG00000079104",408,661,529,148,471,2730,5456,1100,4312,3809,151,1342,3262,737,1147,7158,1182,1229,344,522,538,456,953
"ENSMUSG00000079105",1,1,0,3,1,4,7,3,9,5,0,0,5,9,1,28,12,2,0,3,2,1,2
"ENSMUSG00000079108",897,1418,1145,568,1020,3952,10174,3669,6217,5395,270,1923,5584,1438,1687,8429,1694,1906,955,1422,1331,1087,1746
"ENSMUSG00000079109",547,939,727,81,916,4395,7704,1623,5103,5691,243,2042,4512,955,1604,9935,2123,1998,549,592,659,617,1448
"ENSMUSG00000079110",79,132,98,73,83,632,1746,409,1004,2028,19,243,555,371,523,3162,394,380,42,81,66,63,80
"ENSMUSG00000079111",2690,4641,4046,1874,4620,16709,40168,15555,24735,25003,725,6915,20946,6087,8951,40761,7033,8584,2974,5292,5162,4044,6384
"ENSMUSG00000079112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000079113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000079114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079116",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ENSMUSG00000079120",0,0,0,0,0,0,0,2,8,32,0,0,0,0,0,35,0,0,0,0,0,0,0
"ENSMUSG00000079137",1,3,3,3,3,7,3,3,11,12,2,0,4,3,5,14,7,2,3,2,3,4,3
"ENSMUSG00000079138",0,0,1,1,0,2,2,0,2,2,0,19,2,0,1,60,14,4,0,0,0,0,0
"ENSMUSG00000079139",8,33,4,0,23,420,625,176,479,582,31,261,455,18,38,1156,49,51,6,14,19,16,29
"ENSMUSG00000079140",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000079143",0,0,0,0,1,4,3,2,1,6,0,3,20,3,0,12,1,0,0,0,2,1,1
"ENSMUSG00000079144",1084,1545,1282,595,1197,5388,11653,3776,7550,6707,224,1741,6335,1741,2107,12414,1821,2766,562,1121,1228,787,1868
"ENSMUSG00000079146",1,2,8,0,5,13,23,2,9,2,0,11,21,8,11,15,5,4,0,4,2,5,9
"ENSMUSG00000079156",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000079157",1,0,1,0,0,0,2,0,0,0,0,1,4,2,1,0,3,1,0,0,1,0,5
"ENSMUSG00000079162",0,4,2,0,1,0,28,5,4,0,0,4,25,2,1,13,12,4,1,4,0,1,0
"ENSMUSG00000079163",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0
"ENSMUSG00000079164",1077,1599,377,194,214,1803,2496,194,2298,333,18,21,4554,973,423,2700,231,1041,345,708,325,345,557
"ENSMUSG00000079165",2311,2543,1524,742,1204,4101,10600,2933,6327,5228,213,2312,8959,3000,4014,14565,3066,3993,1055,2187,886,1212,1127
"ENSMUSG00000079168",0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0
"ENSMUSG00000079169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079173",4546,5965,2898,555,1521,8920,19636,2128,8580,2563,367,2939,11886,2836,3397,15321,2075,5205,1433,3274,1281,1785,2549
"ENSMUSG00000079174",912,2121,1674,772,61,4301,14817,4906,4343,3121,135,709,4507,1661,853,7487,266,2902,554,3548,1541,1313,1040
"ENSMUSG00000079175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079177",3,2,3,0,0,2,8,2,7,13,0,2,16,1,0,2,1,5,0,0,1,1,1
"ENSMUSG00000079179",1126,2258,1694,481,1353,4809,16313,4333,6861,6948,247,2267,7645,2360,2662,11392,2118,3224,779,1374,1147,1036,1772
"ENSMUSG00000079180",0,0,1,0,0,331,67,11,77,844,0,0,326,281,134,1084,0,795,0,0,0,0,0
"ENSMUSG00000079183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000079184",426,722,698,168,807,3588,6476,1896,5746,5872,270,2114,4002,997,1657,10604,2014,1768,356,523,686,527,1220
"ENSMUSG00000079186",1,7,48,14,98,92,443,852,564,3649,30,755,79,123,145,5247,821,324,239,638,279,131,361
"ENSMUSG00000079190",0,2,2,0,2,5,23,72,32,77,9,49,19,11,29,80,34,8,0,0,1,0,2
"ENSMUSG00000079192",0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079197",27520,34010,83190,35881,109141,251648,566260,276682,391204,422320,11789,87054,126736,60124,144337,685513,102763,166473,39393,65559,82746,51817,75206
"ENSMUSG00000079215",2023,2963,1625,567,1603,8194,17832,3626,11860,8350,315,2864,15361,3811,4098,22149,3495,5151,1063,2020,1669,1367,3056
"ENSMUSG00000079222",5,7,8,6,4,7,18,10,20,91,6,28,14,7,24,80,48,11,1,4,2,0,5
"ENSMUSG00000079223",1,0,0,0,0,2,13,3,3,5,0,1,0,2,1,9,0,4,0,1,1,0,2
"ENSMUSG00000079224",0,0,0,0,0,30,44,16,54,32,0,16,28,0,0,104,0,0,0,0,0,0,0
"ENSMUSG00000079225",0,8,7,0,7,535,899,201,766,630,32,352,357,0,4,1304,10,0,0,0,0,0,0
"ENSMUSG00000079227",1,9,77,40,184,240,1740,1360,975,6794,505,3301,223,139,343,12262,3085,846,31,47,39,20,84
"ENSMUSG00000079230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079235",16,35,11,6,3,6,44,14,20,11,0,6,78,17,10,24,7,12,1,15,0,2,3
"ENSMUSG00000079239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079242",274,371,212,104,168,512,1483,532,594,237,16,193,871,421,505,1242,266,540,91,311,170,181,171
"ENSMUSG00000079243",11,4,5,0,0,5,7,6,8,5,2,3,11,0,3,13,6,4,0,2,4,2,3
"ENSMUSG00000079244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079258",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
"ENSMUSG00000079259",0,2,0,2,2,0,2,0,3,5,2,2,0,1,5,2,3,1,0,1,0,1,4
"ENSMUSG00000079260",911,1214,600,188,638,2463,5882,1481,3717,2685,118,1097,3678,929,1346,6032,1088,1493,391,887,684,622,1013
"ENSMUSG00000079261",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
"ENSMUSG00000079262",79,78,17,8,17,22,15,4,24,6,2,9,24,31,30,24,23,38,17,29,11,11,21
"ENSMUSG00000079263",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000079264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000079266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079277",254,363,253,29,105,535,3044,486,1186,526,25,197,2097,576,842,1554,239,563,124,183,215,318,333
"ENSMUSG00000079278",1,0,0,1,0,6,38,24,8,51,5,45,6,4,5,37,13,6,0,2,0,1,2
"ENSMUSG00000079283",455,644,402,190,378,1004,2915,1008,1428,1028,37,276,1811,667,775,2495,542,839,437,505,551,373,556
"ENSMUSG00000079286",0,0,1,0,0,4,9,7,9,13,0,6,19,1,1,21,0,1,0,2,0,0,4
"ENSMUSG00000079293",4,8,1562,150,203,211,824,1484,330,6341,581,1537,8,64,181,4889,607,87,14,35,156,35,188
"ENSMUSG00000079295",0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,1,0,0,0,0,1,0,1
"ENSMUSG00000079297",0,0,0,1,0,443,926,192,643,400,16,226,393,2,1,1122,1,1,1,2,1,0,2
"ENSMUSG00000079298",11,20,36,17,32,108,162,221,405,1913,83,238,202,270,129,1348,370,115,29,44,34,26,57
"ENSMUSG00000079299",2,9,17,11,5,37,91,58,49,214,6,39,23,35,47,514,116,59,3,5,9,2,4
"ENSMUSG00000079304",11,14,31,1,32,112,187,49,122,122,1,52,72,13,55,263,66,45,11,29,30,20,39
"ENSMUSG00000079311",14,22,10,12,17,67,106,64,106,135,1,22,62,22,33,261,40,42,15,27,33,27,20
"ENSMUSG00000079316",748,1023,744,600,608,4149,7897,2795,5827,5647,194,1549,5447,1486,1786,11426,1614,2089,768,982,781,723,1210
"ENSMUSG00000079317",191,247,174,89,152,889,2286,720,1425,2368,92,586,1274,387,372,3295,415,481,135,170,125,136,316
"ENSMUSG00000079323",221,493,1130,517,953,1697,6448,4942,2626,3396,142,794,1012,567,954,5211,702,1314,367,1250,795,743,741
"ENSMUSG00000079324",0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000079330",3,5,2,0,4,1,26,18,4,40,28,231,15,11,17,25,39,11,2,0,6,4,6
"ENSMUSG00000079333",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079334",1184,1370,773,459,998,1977,4375,2183,2883,2386,81,767,3315,1529,1788,7141,1096,1840,851,1624,987,916,924
"ENSMUSG00000079339",965,1815,32577,22951,5058,20308,88724,155635,31438,135770,1807,8694,4317,3964,4266,52779,5003,11843,10882,14657,15853,16581,9895
"ENSMUSG00000079342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079343",0,0,0,0,0,41,151,43,34,130,4,18,2,6,11,83,21,7,0,0,1,1,0
"ENSMUSG00000079344",0,0,0,0,0,0,12,4,18,0,0,0,0,1,0,8,0,3,0,0,0,0,0
"ENSMUSG00000079346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079355",371,489,226,200,154,1028,2590,1352,1610,1549,26,204,3751,907,334,3405,209,1056,257,589,244,317,317
"ENSMUSG00000079356",1,2,0,0,0,0,8,1,3,1,0,2,2,2,0,0,3,0,0,0,0,0,1
"ENSMUSG00000079357",1,2,2,1,5,27,47,10,20,37,0,6,23,10,6,49,9,5,4,4,1,3,9
"ENSMUSG00000079359",0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
"ENSMUSG00000079362",41,52,6184,1862,4131,19643,62787,26393,45988,43339,608,4437,496,158,3372,42129,2933,3549,193,279,4929,1163,6288
"ENSMUSG00000079363",23,30,8118,1743,5604,33916,98902,97087,85448,140196,2526,17021,595,768,8207,107322,11159,5715,72,127,6696,899,10218
"ENSMUSG00000079364",0,1,0,0,0,33,144,64,38,51,6,46,21,1,5,130,14,8,0,0,0,0,0
"ENSMUSG00000079371",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079374",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"ENSMUSG00000079378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079382",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000079383",0,0,1,0,0,4,3,7,0,8,0,0,0,0,1,4,0,1,0,0,0,0,0
"ENSMUSG00000079386",0,0,0,0,0,0,17,7,10,6,0,8,1,0,0,20,1,0,0,0,0,0,0
"ENSMUSG00000079387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"ENSMUSG00000079388",0,0,6,0,7,12,39,11,30,15,0,12,12,0,0,40,9,5,0,0,0,0,0
"ENSMUSG00000079389",0,0,0,0,0,4,38,5,13,10,0,4,2,1,0,8,0,0,0,0,0,0,0
"ENSMUSG00000079391",0,3,5,0,3,15,107,31,22,0,0,5,4,0,4,28,11,5,1,0,0,2,2
"ENSMUSG00000079392",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079396",21,21,44,5,24,82,341,94,94,61,0,52,55,24,42,204,38,30,16,18,34,20,42
"ENSMUSG00000079402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079407",2,6,2,0,0,3,3,3,0,1,0,0,2,1,0,1,2,0,0,0,1,0,4
"ENSMUSG00000079409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079410",0,2,1,0,0,3,32,1,12,15,0,4,5,0,0,23,0,0,0,0,2,0,0
"ENSMUSG00000079414",5,9,17,2,10,41,99,58,108,168,7,73,63,30,33,396,99,28,6,18,15,13,23
"ENSMUSG00000079415",35,48,46,8,43,190,442,133,219,268,12,119,209,52,90,525,94,96,22,39,45,46,59
"ENSMUSG00000079416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079418",657,1050,751,344,626,3166,6328,2646,4582,5127,152,1026,4642,1175,1197,8461,1167,2052,405,852,700,592,859
"ENSMUSG00000079419",5,4,40,39,30,66,174,216,102,1141,116,422,42,64,86,837,320,90,7,18,25,28,28
"ENSMUSG00000079421",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079424",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000079426",9751,13847,13496,6732,16776,35840,87821,48003,53967,68193,2573,22662,42296,15814,20773,121479,20875,20858,9218,19952,16638,13478,17541
"ENSMUSG00000079427",329,520,374,149,256,1699,3165,1877,2394,3755,120,943,2593,530,619,5697,601,664,330,586,406,364,543
"ENSMUSG00000079428",0,0,0,0,2,2,7,0,5,0,0,0,2,0,1,2,0,1,0,0,0,1,1
"ENSMUSG00000079429",296,482,433,69,375,2092,4376,612,2050,1382,49,549,1940,456,793,3473,712,717,261,380,352,374,669
"ENSMUSG00000079432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079434",121,174,81,11,103,405,851,83,485,243,8,120,862,211,202,577,200,294,42,45,77,33,72
"ENSMUSG00000079435",27200,40007,32124,5493,46314,144562,309234,96889,205765,233789,8128,76294,193322,51524,71344,312630,76467,89157,19499,33915,35781,24774,53429
"ENSMUSG00000079436",9,18,5,7,6,63,117,22,80,56,4,11,90,5,10,145,10,21,6,14,5,7,15
"ENSMUSG00000079438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079440",1402,3812,1660,924,687,8378,22401,10982,10412,10330,185,942,14257,7134,3724,19998,1296,8568,760,2119,853,638,927
"ENSMUSG00000079442",562,1043,1378,1074,1247,30466,83681,38167,55310,27613,1448,10685,25099,9327,7433,87260,9901,9902,254,593,860,544,932
"ENSMUSG00000079444",1958,2733,2641,620,4719,6901,16943,6438,11209,10522,454,3665,8420,3460,5925,19326,4906,4751,2728,3616,3262,2583,3722
"ENSMUSG00000079445",27,55,6180,6803,1293,11538,52696,45879,9921,35370,196,2165,894,611,3160,21876,978,2081,480,2468,4643,3959,2468
"ENSMUSG00000079450",18,47,29,6,31,4,33,2,2,5,0,13,4,16,3,43,15,13,12,13,5,11,29
"ENSMUSG00000079451",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2
"ENSMUSG00000079455",4,0,0,1,0,12,23,15,18,93,0,12,0,6,3,41,2,6,0,5,6,0,8
"ENSMUSG00000079457",2,2,4,6,2,27,155,155,49,332,31,116,25,35,33,275,62,64,1,13,10,6,7
"ENSMUSG00000079460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079462",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000079465",2,9,9,0,2,32,112,8,36,25,0,7,108,18,5,46,7,10,4,5,1,3,14
"ENSMUSG00000079466",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1
"ENSMUSG00000079467",12,16,7,12,22,97,209,102,83,74,6,22,111,57,61,164,60,75,18,14,22,13,6
"ENSMUSG00000079469",1571,2617,1582,528,1361,7990,16803,3964,11854,9720,590,3676,11510,2941,3266,20767,3506,3936,1177,1913,1856,1472,2949
"ENSMUSG00000079470",2207,3354,1793,1690,889,4558,11350,1502,5239,4476,217,1945,11777,1854,1259,12062,1290,2842,803,2694,991,895,1269
"ENSMUSG00000079471",5,12,0,0,12,18,38,0,0,0,0,3,18,8,15,25,7,21,4,1,1,0,0
"ENSMUSG00000079476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079477",18655,26478,31368,15783,22720,102949,253139,124086,161925,197638,5695,46293,102368,31414,44033,279886,37919,50641,16050,26114,32684,22635,34893
"ENSMUSG00000079478",1949,2841,2293,474,4500,7649,21962,5466,12204,8554,449,4912,7792,3495,6257,18730,6777,4960,1440,2565,2804,2383,3777
"ENSMUSG00000079479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079480",1073,1404,1475,740,1402,4240,10203,5964,6245,10052,304,2488,5246,2206,2451,13412,2497,3084,863,1692,1355,1095,1301
"ENSMUSG00000079481",7,0,15,7,4,90,65,86,20,147,36,66,8,5,9,96,24,11,1,3,13,2,7
"ENSMUSG00000079484",683,763,267,84,247,677,1872,424,1809,761,96,1138,3536,731,664,2328,664,1213,135,251,112,130,208
"ENSMUSG00000079487",3836,6681,5693,1135,3578,21359,51682,14564,30761,25529,1197,9365,24801,6917,10316,63142,10210,11185,2878,5136,5305,4323,7256
"ENSMUSG00000079489",1,1,1,2,1,89,95,23,67,101,0,15,60,2,5,129,3,10,0,3,3,1,6
"ENSMUSG00000079491",56,89,352,102,594,2825,7745,5161,5861,6970,509,3838,3459,1412,3013,15635,4300,3096,134,240,445,264,696
"ENSMUSG00000079492",19,49,40,42,32,4065,9872,4112,1902,8267,154,2101,1857,629,1347,14347,158,4568,18,33,26,19,25
"ENSMUSG00000079494",0,3,0,0,2,8,5,0,7,3,2,0,16,0,3,10,0,5,0,0,0,0,0
"ENSMUSG00000079495",0,1,0,0,2,1,1,0,11,0,0,0,46,3,5,7,0,8,0,0,0,0,0
"ENSMUSG00000079497",4,10,8,4,10,5,48,3,5,3,0,7,34,6,6,16,1,9,5,9,2,7,7
"ENSMUSG00000079499",7,12,59,16,55,153,389,430,264,959,107,597,54,103,123,1657,415,141,5,36,49,25,40
"ENSMUSG00000079501",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079502",18,38,40,20,73,87,237,0,151,22,3,4,127,27,73,197,33,84,24,33,37,16,34
"ENSMUSG00000079505",67,93,168,65,177,193,1029,519,424,404,18,186,230,117,194,797,218,168,87,127,196,112,225
"ENSMUSG00000079507",1100,1714,2976,3462,1145,662,13909,5319,1992,2370,65,1002,3401,1026,953,4405,401,2188,962,2321,1486,1717,1673
