"cluster","gene","grouping"
"36","api10282","EfaB_MINUS_49504.g2809","Efalciformis"
"37","api10282","EfaB_PLUS_30201.g2270","Efalciformis"
"38","api10287","EfaB_PLUS_1925.g206","Efalciformis"
"39","api10287","EfaB_PLUS_1782.g199","Efalciformis"
"40","api1029","EfaB_PLUS_31498.g2322","conserved"
"41","api10291","EfaB_PLUS_11280.g972","Efalciformis"
"42","api10291","EfaB_PLUS_15648.g1308","Efalciformis"
"43","api103","EfaB_PLUS_107.g1","conserved"
"44","api103","EfaB_PLUS_39892.g2546","conserved"
"45","api103","EfaB_MINUS_43533.g2732","conserved"
"46","api103","EfaB_MINUS_106.g1","conserved"
"47","api103","EfaB_MINUS_27413.g2280","conserved"
"48","api103","EfaB_PLUS_39892.g2547","conserved"
"49","api1030","EfaB_PLUS_11030.g937","conserved"
"50","api10300","EfaB_PLUS_22450.g1875","Efalciformis"
"51","api10300","EfaB_PLUS_22450.g1874","Efalciformis"
"52","api1031","EfaB_MINUS_14881.g1238","conserved"
"53","api1032","EfaB_MINUS_20412.g1827","conserved"
"54","api1033","EfaB_PLUS_15724.g1361","conserved"
"55","api1034","EfaB_MINUS_6743.g604","conserved"
"56","api1035","EfaB_MINUS_17400.g1580","conserved"
"57","api10355","EfaB_PLUS_17195.g1488","Eimeria"
"58","api1036","EfaB_MINUS_34010.g2559","conserved"
"59","api1037","EfaB_MINUS_20371.g1738","conserved"
"60","api1038","EfaB_MINUS_28918.g2340","conserved"
"61","api1039","EfaB_MINUS_14978.g1282","conserved"
"62","api1040","EfaB_MINUS_25177.g2148","conserved"
"63","api1041","EfaB_MINUS_38801.g2629","conserved"
"64","api1042","EfaB_PLUS_20371.g1639","conserved"
"65","api1043","EfaB_PLUS_20412.g1737","conserved"
"66","api1044","EfaB_PLUS_22450.g1877","conserved"
"67","api1045","EfaB_PLUS_8664.g846","conserved"
"68","api1046","EfaB_MINUS_24701.g2098","conserved"
"69","api1047","EfaB_PLUS_39892.g2561","conserved"
"70","api1047","EfaB_MINUS_22450.g1917","conserved"
"71","api1048","EfaB_PLUS_27383.g2191","conserved"
"72","api1049","EfaB_PLUS_12324.g1058","conserved"
"73","api1050","EfaB_PLUS_15648.g1325","conserved"
"74","api10503","EfaB_PLUS_3407.g343","Eimeria"
"75","api1051","EfaB_PLUS_7742.g777","conserved"
"76","api1052","EfaB_MINUS_7742.g788","conserved"
"77","api1053","EfaB_MINUS_3407.g332","conserved"
"78","api1054","EfaB_PLUS_58361.g2867","conserved"
"79","api1055","EfaB_PLUS_13222.g1113","conserved"
"80","api1056","EfaB_MINUS_19222.g1690","conserved"
"81","api1057","EfaB_PLUS_13227.g1150","conserved"
"82","api1058","EfaB_MINUS_53301.g2886","conserved"
"83","api1059","EfaB_PLUS_17907.g1550","conserved"
"84","api106","EfaB_PLUS_37942.g2518","conserved"
"85","api1060","EfaB_PLUS_2336.g253","conserved"
"86","api1061","EfaB_PLUS_25052.g2034","conserved"
"87","api1062","EfaB_MINUS_52892.g2858","conserved"
"88","api1063","EfaB_PLUS_56725.g2806","Apicomplexa"
"89","api1063","EfaB_MINUS_2336.g265","Apicomplexa"
"90","api1064","EfaB_PLUS_6897.g640","conserved"
"91","api1065","EfaB_MINUS_43533.g2770","conserved"
"92","api1066","EfaB_PLUS_11414.g980","conserved"
"93","api1067","EfaB_MINUS_15576.g1352","conserved"
"94","api1068","EfaB_MINUS_50054.g2834","conserved"
"95","api1069","EfaB_MINUS_27413.g2283","conserved"
"96","api107","EfaB_PLUS_15697.g1347","conserved"
"97","api107","EfaB_PLUS_31151.g2283","conserved"
"98","api1070","EfaB_PLUS_24501.g2009","conserved"
"99","api1071","EfaB_MINUS_800.g87","conserved"
"100","api1072","EfaB_MINUS_52892.g2854","conserved"
"101","api1073","EfaB_MINUS_22240.g1893","conserved"
"102","api1074","EfaB_PLUS_7048.g689","conserved"
"103","api1075","EfaB_PLUS_7742.g783","conserved"
"104","api1076","EfaB_MINUS_4114.g414","conserved"
"105","api1077","EfaB_PLUS_22960.g1906","conserved"
"106","api1078","EfaB_PLUS_12281.g1051","conserved"
"107","api1079","EfaB_PLUS_33854.g2431","conserved"
"108","api108","EfaB_MINUS_11789.g1034","conserved"
"109","api1080","EfaB_MINUS_4849.g448","conserved"
"110","api1081","EfaB_PLUS_42996.g2614","conserved"
"111","api1082","EfaB_MINUS_28261.g2336","conserved"
"112","api1083","EfaB_PLUS_4714.g434","conserved"
"113","api1084","EfaB_PLUS_1739.g198","conserved"
"114","api1085","EfaB_MINUS_14978.g1266","conserved"
"115","api1086","EfaB_PLUS_58361.g2866","conserved"
"116","api1087","EfaB_PLUS_53301.g2770","conserved"
"117","api10879","EfaB_MINUS_26415.g2241","Eimeria"
"118","api1088","EfaB_PLUS_13222.g1116","conserved"
"119","api1088","EfaB_PLUS_13222.g1117","conserved"
"120","api1089","EfaB_MINUS_23210.g2017","conserved"
"121","api1090","EfaB_MINUS_17096.g1518","conserved"
"122","api10908","EfaB_MINUS_3626.g368","Eimeria"
"123","api1091","EfaB_PLUS_22450.g1844","conserved"
"124","api10925","EfaB_MINUS_58361.g2999","Eimeria"
"125","api1093","EfaB_MINUS_12420.g1098","conserved"
"126","api1094","EfaB_MINUS_11414.g1009","Apicomplexa"
"127","api1095","EfaB_MINUS_15697.g1400","Apicomplexa"
"128","api1095","EfaB_MINUS_15697.g1398","Apicomplexa"
"129","api1096","EfaB_PLUS_43533.g2669","ApicomplexaC"
"130","api1097","EfaB_MINUS_7048.g666","Coccidia"
"131","api10981","EfaB_MINUS_7048.g679","Eimeria"
"132","api10988","EfaB_MINUS_1068.g158","Eimeria"
"133","api1099","EfaB_PLUS_11882.g1020","Eimeria"
"134","api10992","EfaB_PLUS_2387.g281","Eimeria"
"135","api10994","EfaB_MINUS_32574.g2459","Eimeria"
"136","api110","EfaB_PLUS_21840.g1799","conserved"
"137","api110","EfaB_PLUS_8675.g857","conserved"
"138","api1100","EfaB_PLUS_52892.g2743","Apicomplexa"
"139","api11007","EfaB_MINUS_50714.g2845","Eimeria"
"140","api11008","EfaB_MINUS_25190.g2159","Eimeria"
"141","api1101","EfaB_PLUS_25190.g2072","Apicomplexa"
"142","api1102","EfaB_PLUS_13222.g1107","Coccidia"
"143","api1102","EfaB_PLUS_1425.g170","Coccidia"
"144","api11024","EfaB_PLUS_38343.g2525","Eimeria"
"145","api11029","EfaB_MINUS_1001.g109","Eimeria"
"146","api1103","EfaB_PLUS_3469.g366","Coccidia"
"147","api1103","EfaB_MINUS_720.g71","Coccidia"
"148","api1103","EfaB_PLUS_1707.g191","Coccidia"
"149","api1104","EfaB_MINUS_32574.g2473","conserved"
"150","api1105","EfaB_MINUS_22960.g1971","Eimeria"
"151","api1105","EfaB_PLUS_3881.g390","Eimeria"
"152","api1106","EfaB_PLUS_800.g93","ApicomplexaC"
"153","api1107","EfaB_PLUS_20371.g1693","conserved"
"154","api1108","EfaB_PLUS_45924.g2677","conserved"
"155","api1109","EfaB_PLUS_15745.g1369","conserved"
"156","api11108","EfaB_PLUS_23272.g1950","Eimeria"
"157","api1112","EfaB_MINUS_31746.g2423","conserved"
"158","api1114","EfaB_MINUS_49504.g2822","conserved"
"159","api1115","EfaB_MINUS_58361.g2987","conserved"
"160","api1116","EfaB_PLUS_1711.g192","conserved"
"161","api11166","EfaB_MINUS_23143.g1996","Eimeria"
"162","api1117","EfaB_PLUS_1425.g172","conserved"
"163","api1119","EfaB_PLUS_20412.g1738","conserved"
"164","api11204","EfaB_PLUS_8664.g822","Eimeria"
"165","api1121","EfaB_PLUS_228.g22","conserved"
"166","api1122","EfaB_PLUS_25458.g2126","conserved"
"167","api1126","EfaB_MINUS_34010.g2532","Coccidia"
"168","api11271","EfaB_PLUS_25052.g2045","ApicomplexaC"
"169","api11275","EfaB_MINUS_23210.g2032","ApicomplexaC"
"170","api1129","EfaB_MINUS_24117.g2076","conserved"
"171","api11294","EfaB_MINUS_8664.g831","ApicomplexaC"
"172","api11299","EfaB_PLUS_31498.g2302","Eimeria"
"173","api113","EfaB_MINUS_15724.g1416","conserved"
"174","api11311","EfaB_PLUS_12367.g1063","Eimeria"
"175","api1132","EfaB_PLUS_15648.g1326","conserved"
"176","api1133","EfaB_MINUS_24117.g2089","conserved"
"177","api1134","EfaB_MINUS_43533.g2746","conserved"
"178","api1135","EfaB_PLUS_15648.g1340","conserved"
"179","api1137","EfaB_MINUS_43533.g2726","conserved"
"180","api1139","EfaB_PLUS_4114.g406","conserved"
"181","api114","EfaB_MINUS_4714.g428","conserved"
"182","api1140","EfaB_PLUS_20371.g1667","conserved"
"183","api1141","EfaB_MINUS_5670.g473","conserved"
"184","api1142","EfaB_MINUS_21566.g1872","conserved"
"185","api1145","EfaB_PLUS_23143.g1915","conserved"
"186","api1146","EfaB_PLUS_20412.g1740","conserved"
"187","api1149","EfaB_PLUS_33184.g2413","conserved"
"188","api1151","EfaB_MINUS_17907.g1642","conserved"
"189","api1154","EfaB_MINUS_20371.g1787","conserved"
"190","api1158","EfaB_PLUS_7742.g739","conserved"
"191","api1161","EfaB_PLUS_22960.g1904","conserved"
"192","api1162","EfaB_PLUS_11124.g947","conserved"
"193","api1165","EfaB_PLUS_2387.g284","conserved"
"194","api1165","EfaB_PLUS_25052.g2044","conserved"
"195","api1166","EfaB_MINUS_15765.g1447","conserved"
"196","api1167","EfaB_PLUS_6743.g604","conserved"
"197","api117","EfaB_MINUS_1307.g177","conserved"
"198","api117","EfaB_MINUS_23143.g1989","conserved"
"199","api1170","EfaB_PLUS_2387.g300","conserved"
"200","api1173","EfaB_MINUS_10843.g952","conserved"
"201","api1175","EfaB_PLUS_56725.g2819","conserved"
"202","api1180","EfaB_MINUS_15745.g1422","conserved"
"203","api1183","EfaB_PLUS_7048.g695","conserved"
"204","api1185","EfaB_PLUS_37748.g2509","conserved"
"205","api1187","EfaB_MINUS_7742.g757","conserved"
"206","api1188","EfaB_MINUS_23210.g2016","conserved"
"207","api119","EfaB_MINUS_52892.g2857","conserved"
"208","api119","EfaB_MINUS_27413.g2289","conserved"
"209","api1190","EfaB_PLUS_2074.g243","conserved"
"210","api1194","EfaB_PLUS_6035.g572","conserved"
"211","api1195","EfaB_MINUS_27413.g2286","conserved"
"212","api1197","EfaB_PLUS_17907.g1543","conserved"
"213","api1201","EfaB_MINUS_7048.g668","conserved"
"214","api1202","EfaB_MINUS_6743.g607","conserved"
"215","api1203","EfaB_PLUS_276.g40","conserved"
"216","api1204","EfaB_MINUS_49504.g2805","conserved"
"217","api1206","EfaB_MINUS_32574.g2468","conserved"
"218","api1207","EfaB_PLUS_34010.g2457","conserved"
"219","api1208","EfaB_MINUS_33184.g2506","conserved"
"220","api1209","EfaB_PLUS_7742.g754","conserved"
"221","api121","EfaB_PLUS_13227.g1159","conserved"
"222","api121","EfaB_MINUS_33184.g2486","conserved"
"223","api1210","EfaB_MINUS_4114.g402","conserved"
"224","api1211","EfaB_MINUS_17195.g1559","conserved"
"225","api1212","EfaB_MINUS_17764.g1588","conserved"
"226","api1213","EfaB_PLUS_27770.g2212","conserved"
"227","api1215","EfaB_PLUS_11882.g1031","conserved"
"228","api1216","EfaB_MINUS_7742.g746","conserved"
"229","api1219","EfaB_PLUS_4993.g466","conserved"
"230","api122","EfaB_MINUS_22960.g1972","conserved"
"231","api122","EfaB_PLUS_32658.g2380","conserved"
"232","api1221","EfaB_MINUS_17907.g1633","conserved"
"233","api1223","EfaB_MINUS_11882.g1050","conserved"
"234","api1224","EfaB_MINUS_5792.g519","conserved"
"235","api1225","EfaB_PLUS_2074.g234","conserved"
"236","api1226","EfaB_PLUS_4475.g431","conserved"
"237","api1227","EfaB_MINUS_5792.g529","conserved"
"238","api1228","EfaB_PLUS_56725.g2841","conserved"
"239","api1229","EfaB_PLUS_32658.g2381","conserved"
"240","api1230","EfaB_MINUS_17150.g1544","conserved"
"241","api1232","EfaB_MINUS_34010.g2525","conserved"
"242","api1233","EfaB_MINUS_17195.g1549","conserved"
"243","api1234","EfaB_PLUS_1527.g188","conserved"
"244","api1236","EfaB_PLUS_17096.g1459","conserved"
"245","api1237","EfaB_MINUS_17096.g1525","conserved"
"246","api1238","EfaB_MINUS_13201.g1120","conserved"
"247","api1239","EfaB_PLUS_13222.g1099","conserved"
"248","api1240","EfaB_PLUS_56725.g2824","conserved"
"249","api1241","EfaB_MINUS_20371.g1776","conserved"
"250","api1242","EfaB_MINUS_15648.g1373","conserved"
"251","api1243","EfaB_MINUS_15697.g1402","conserved"
"252","api1244","EfaB_MINUS_15648.g1369","conserved"
"253","api1245","EfaB_PLUS_800.g69","conserved"
"254","api1246","EfaB_PLUS_40565.g2566","conserved"
"255","api1247","EfaB_MINUS_331.g42","conserved"
"256","api1249","EfaB_PLUS_15648.g1307","conserved"
"257","api1249","EfaB_MINUS_27770.g2299","conserved"
"258","api1250","EfaB_MINUS_4686.g425","conserved"
"259","api1252","EfaB_MINUS_23210.g2019","conserved"
"260","api1253","EfaB_MINUS_2336.g268","conserved"
"261","api1254","EfaB_MINUS_6743.g609","conserved"
"262","api1255","EfaB_MINUS_18749.g1667","conserved"
"263","api1256","EfaB_MINUS_33184.g2496","conserved"
"264","api1257","EfaB_MINUS_58361.g2995","ApicomplexaC"
"265","api1258","EfaB_PLUS_2526.g314","Apicomplexa"
"266","api1259","EfaB_PLUS_9324.g879","conserved"
"267","api1260","EfaB_PLUS_14667.g1202","ApicomplexaC"
"268","api1261","EfaB_PLUS_31498.g2326","conserved"
"269","api1262","EfaB_PLUS_32574.g2361","conserved"
"270","api1263","EfaB_PLUS_56725.g2838","conserved"
"271","api1275","EfaB_PLUS_28105.g2220","conserved"
"272","api1277","EfaB_MINUS_7742.g783","conserved"
"273","api1278","EfaB_MINUS_1527.g197","conserved"
"274","api1279","EfaB_PLUS_28105.g2216","conserved"
"275","api1280","EfaB_MINUS_25052.g2119","conserved"
"276","api1281","EfaB_MINUS_6897.g623","conserved"
"277","api1282","EfaB_MINUS_4849.g444","conserved"
"278","api1283","EfaB_PLUS_12534.g1076","conserved"
"279","api1284","EfaB_PLUS_32574.g2348","conserved"
"280","api1285","EfaB_PLUS_8675.g855","conserved"
"281","api1286","EfaB_PLUS_22450.g1851","conserved"
"282","api1287","EfaB_PLUS_43533.g2641","conserved"
"283","api1288","EfaB_MINUS_17400.g1577","conserved"
"284","api1289","EfaB_PLUS_37748.g2511","conserved"
"285","api129","EfaB_PLUS_15576.g1274","conserved"
"286","api129","EfaB_MINUS_3088.g319","conserved"
"287","api129","EfaB_PLUS_56725.g2818","conserved"
"288","api1290","EfaB_PLUS_15648.g1320","conserved"
"289","api1291","EfaB_PLUS_53301.g2779","conserved"
"290","api1292","EfaB_MINUS_7742.g792","conserved"
"291","api1293","EfaB_PLUS_18472.g1581","conserved"
"292","api1294","EfaB_PLUS_7780.g807","conserved"
"293","api1295","EfaB_MINUS_5792.g521","conserved"
"294","api1296","EfaB_MINUS_12534.g1103","conserved"
"295","api1297","EfaB_MINUS_15349.g1300","conserved"
"296","api1298","EfaB_MINUS_18587.g1663","conserved"
"297","api1299","EfaB_MINUS_228.g28","conserved"
"298","api130","EfaB_PLUS_25019.g2032","conserved"
"299","api1300","EfaB_MINUS_20371.g1765","conserved"
"300","api1301","EfaB_PLUS_31746.g2334","conserved"
"301","api1302","EfaB_MINUS_17195.g1563","conserved"
"302","api1303","EfaB_MINUS_17907.g1612","conserved"
"303","api1304","EfaB_MINUS_10358.g919","conserved"
"304","api1305","EfaB_PLUS_800.g73","conserved"
"305","api1306","EfaB_PLUS_40637.g2581","conserved"
"306","api1307","EfaB_MINUS_13222.g1138","conserved"
"307","api1308","EfaB_MINUS_10331.g917","conserved"
"308","api1309","EfaB_PLUS_20371.g1646","conserved"
"309","api131","EfaB_PLUS_43533.g2658","conserved"
"310","api131","EfaB_MINUS_43533.g2759","conserved"
"311","api1310","EfaB_MINUS_20371.g1739","conserved"
"312","api1311","EfaB_MINUS_33184.g2498","conserved"
"313","api1312","EfaB_PLUS_276.g36","conserved"
"314","api1313","EfaB_PLUS_15576.g1288","conserved"
"315","api1314","EfaB_PLUS_43533.g2643","conserved"
"316","api1315","EfaB_MINUS_13227.g1170","conserved"
"317","api1316","EfaB_PLUS_13227.g1160","conserved"
"318","api1317","EfaB_MINUS_13227.g1179","conserved"
"319","api1318","EfaB_MINUS_15765.g1441","conserved"
"320","api1319","EfaB_PLUS_40565.g2574","conserved"
"321","api1320","EfaB_PLUS_7048.g701","conserved"
"322","api1321","EfaB_PLUS_20371.g1671","conserved"
"323","api1323","EfaB_PLUS_31498.g2308","conserved"
"324","api1324","EfaB_PLUS_7048.g659","conserved"
"325","api1325","EfaB_PLUS_43533.g2673","conserved"
"326","api1326","EfaB_MINUS_1001.g111","conserved"
"327","api1327","EfaB_MINUS_26792.g2254","conserved"
"328","api1328","EfaB_PLUS_50054.g2720","conserved"
"329","api1329","EfaB_PLUS_13201.g1090","conserved"
"330","api133","EfaB_MINUS_15648.g1375","conserved"
"331","api1330","EfaB_MINUS_20371.g1751","conserved"
"332","api1331","EfaB_MINUS_11414.g1024","conserved"
"333","api1332","EfaB_PLUS_12065.g1041","conserved"
"334","api1333","EfaB_MINUS_31746.g2434","conserved"
"335","api1334","EfaB_PLUS_56725.g2858","conserved"
"336","api1335","EfaB_MINUS_10843.g940","conserved"
"337","api1336","EfaB_MINUS_11414.g1019","conserved"
"338","api1337","EfaB_PLUS_33184.g2414","conserved"
"339","api1338","EfaB_PLUS_17400.g1510","conserved"
"340","api1339","EfaB_MINUS_15648.g1353","conserved"
"341","api134","EfaB_PLUS_23272.g1958","conserved"
"342","api134","EfaB_PLUS_23210.g1938","conserved"
"343","api1340","EfaB_PLUS_20437.g1759","conserved"
"344","api1341","EfaB_MINUS_7780.g818","conserved"
"345","api1342","EfaB_MINUS_52892.g2859","conserved"
"346","api1343","EfaB_MINUS_38343.g2618","conserved"
"347","api1344","EfaB_MINUS_43533.g2753","conserved"
"348","api1345","EfaB_MINUS_52892.g2856","conserved"
"349","api1346","EfaB_PLUS_17096.g1465","conserved"
"350","api1347","EfaB_PLUS_33184.g2383","conserved"
"351","api1348","EfaB_MINUS_15765.g1450","conserved"
"352","api1349","EfaB_MINUS_2387.g304","conserved"
"353","api1350","EfaB_MINUS_33184.g2503","conserved"
"354","api1351","EfaB_PLUS_6035.g573","conserved"
"355","api1352","EfaB_PLUS_15648.g1335","conserved"
"356","api1353","EfaB_PLUS_5670.g490","conserved"
"357","api1354","EfaB_MINUS_13222.g1131","conserved"
"358","api1355","EfaB_PLUS_2074.g239","conserved"
"359","api1356","EfaB_MINUS_49504.g2827","conserved"
"360","api1357","EfaB_MINUS_25177.g2144","conserved"
"361","api1358","EfaB_MINUS_228.g9","conserved"
"362","api1359","EfaB_PLUS_42416.g2591","conserved"
"363","api1360","EfaB_PLUS_13441.g1182","conserved"
"364","api1361","EfaB_PLUS_6743.g619","conserved"
"365","api1362","EfaB_PLUS_45924.g2676","conserved"
"366","api1363","EfaB_PLUS_33854.g2425","conserved"
"367","api1364","EfaB_PLUS_17150.g1485","conserved"
"368","api1365","EfaB_PLUS_10843.g926","conserved"
"369","api1366","EfaB_PLUS_7715.g724","conserved"
"370","api1367","EfaB_PLUS_7742.g789","conserved"
"371","api1368","EfaB_PLUS_20371.g1663","conserved"
"372","api1369","EfaB_PLUS_17195.g1496","conserved"
"373","api137","EfaB_MINUS_43533.g2767","conserved"
"374","api137","EfaB_MINUS_39892.g2646","conserved"
"375","api1370","EfaB_PLUS_7099.g709","conserved"
"376","api1371","EfaB_MINUS_2336.g259","conserved"
"377","api1373","EfaB_PLUS_17907.g1548","conserved"
"378","api1374","EfaB_MINUS_15648.g1374","conserved"
"379","api1375","EfaB_PLUS_2074.g241","conserved"
"380","api1376","EfaB_PLUS_3881.g396","ApicomplexaC"
"381","api1377","EfaB_MINUS_24074.g2050","conserved"
"382","api1378","EfaB_PLUS_5792.g566","conserved"
"383","api1379","EfaB_PLUS_24117.g1988","conserved"
"384","api1380","EfaB_MINUS_1425.g194","conserved"
"385","api1381","EfaB_PLUS_7742.g757","conserved"
"386","api1381","EfaB_PLUS_7742.g756","conserved"
"387","api1382","EfaB_MINUS_5788.g511","conserved"
"388","api1383","EfaB_MINUS_2601.g316","conserved"
"389","api1384","EfaB_PLUS_12065.g1044","conserved"
"390","api1385","EfaB_MINUS_5727.g484","conserved"
"391","api1386","EfaB_MINUS_9917.g903","conserved"
"392","api1387","EfaB_MINUS_15899.g1476","conserved"
"393","api1388","EfaB_PLUS_20412.g1714","conserved"
"394","api13883","EfaB_MINUS_17575.g1585","Eimeria"
"395","api1389","EfaB_MINUS_33854.g2520","conserved"
"396","api13890","EfaB_MINUS_13222.g1126","Eimeria"
"397","api1390","EfaB_PLUS_27413.g2200","conserved"
"398","api1391","EfaB_PLUS_5792.g562","conserved"
"399","api1392","EfaB_PLUS_20371.g1662","conserved"
"400","api1393","EfaB_MINUS_13398.g1204","conserved"
"401","api1394","EfaB_PLUS_33184.g2400","conserved"
"402","api1395","EfaB_PLUS_15648.g1327","conserved"
"403","api1396","EfaB_MINUS_15576.g1338","conserved"
"404","api1397","EfaB_PLUS_56725.g2825","conserved"
"405","api1398","EfaB_PLUS_23143.g1913","conserved"
"406","api13983","EfaB_PLUS_53301.g2772","conserved"
"407","api1399","EfaB_MINUS_49504.g2813","conserved"
"408","api13995","EfaB_PLUS_14978.g1226","Eimeria"
"409","api1400","EfaB_PLUS_642.g47","Apicomplexa"
"410","api1400","EfaB_MINUS_50054.g2837","Apicomplexa"
"411","api1401","EfaB_MINUS_15899.g1465","conserved"
"412","api1403","EfaB_PLUS_17907.g1567","conserved"
"413","api1404","EfaB_MINUS_13227.g1169","conserved"
"414","api1405","EfaB_PLUS_11280.g970","conserved"
"415","api1406","EfaB_MINUS_58361.g3000","conserved"
"416","api1407","EfaB_MINUS_6897.g624","conserved"
"417","api14074","EfaB_PLUS_24074.g1962","Eimeria"
"418","api1408","EfaB_PLUS_13222.g1100","conserved"
"419","api1409","EfaB_MINUS_25190.g2157","conserved"
"420","api1410","EfaB_PLUS_5792.g555","conserved"
"421","api1411","EfaB_PLUS_3222.g333","conserved"
"422","api1412","EfaB_MINUS_13222.g1128","conserved"
"423","api1413","EfaB_MINUS_17195.g1562","conserved"
"424","api1414","EfaB_PLUS_8817.g867","conserved"
"425","api1415","EfaB_MINUS_20412.g1802","conserved"
"426","api1416","EfaB_MINUS_17907.g1622","conserved"
"427","api1417","EfaB_PLUS_21840.g1800","conserved"
"428","api1418","EfaB_PLUS_49504.g2683","conserved"
"429","api1419","EfaB_PLUS_26136.g2137","conserved"
"430","api1419","EfaB_MINUS_8817.g875","conserved"
"431","api1420","EfaB_PLUS_19047.g1604","conserved"
"432","api1421","EfaB_PLUS_50054.g2717","ApicomplexaC"
"433","api1422","EfaB_MINUS_15745.g1424","conserved"
"434","api1423","EfaB_MINUS_58361.g2998","ApicomplexaC"
"435","api1424","EfaB_MINUS_9917.g898","Eimeria"
"436","api1425","EfaB_PLUS_20412.g1697","Eimeria"
"437","api1425","EfaB_MINUS_21549.g1854","Eimeria"
"438","api1425","EfaB_MINUS_1001.g107","Eimeria"
"439","api1426","EfaB_PLUS_20412.g1729","Eimeria"
"440","api1426","EfaB_MINUS_20412.g1830","Eimeria"
"441","api1426","EfaB_MINUS_20412.g1829","Eimeria"
"442","api1428","EfaB_MINUS_11882.g1040","Apicomplexa"
"443","api1429","EfaB_MINUS_24117.g2083","conserved"
"444","api1430","EfaB_MINUS_24117.g2085","conserved"
"445","api1431","EfaB_PLUS_11414.g987","Apicomplexa"
"446","api1431","EfaB_PLUS_10358.g902","Apicomplexa"
"447","api1432","EfaB_PLUS_10358.g903","conserved"
"448","api1433","EfaB_PLUS_31746.g2330","Apicomplexa"
"449","api1434","EfaB_MINUS_23210.g2013","conserved"
"450","api1436","EfaB_MINUS_28105.g2308","Apicomplexa"
"451","api1438","EfaB_MINUS_21566.g1871","conserved"
"452","api1439","EfaB_MINUS_1068.g163","conserved"
"453","api1442","EfaB_PLUS_20371.g1666","conserved"
"454","api1445","EfaB_PLUS_24117.g1992","conserved"
"455","api1446","EfaB_MINUS_14053.g1226","conserved"
"456","api1448","EfaB_MINUS_14978.g1249","conserved"
"457","api1449","EfaB_MINUS_7742.g766","conserved"
"458","api1452","EfaB_PLUS_1903.g201","conserved"
"459","api1455","EfaB_PLUS_22450.g1842","conserved"
"460","api1457","EfaB_MINUS_800.g86","conserved"
"461","api1457","EfaB_MINUS_8664.g834","conserved"
"462","api1459","EfaB_PLUS_228.g31","conserved"
"463","api146","EfaB_PLUS_13227.g1156","conserved"
"464","api146","EfaB_MINUS_5792.g532","conserved"
"465","api1461","EfaB_MINUS_3833.g370","conserved"
"466","api1462","EfaB_PLUS_2336.g254","conserved"
"467","api1467","EfaB_PLUS_17764.g1526","conserved"
"468","api1468","EfaB_MINUS_26415.g2239","conserved"
"469","api147","EfaB_MINUS_3469.g357","conserved"
"470","api147","EfaB_MINUS_3469.g356","conserved"
"471","api1476","EfaB_PLUS_31498.g2325","conserved"
"472","api1477","EfaB_MINUS_23272.g2047","conserved"
"473","api1478","EfaB_PLUS_43533.g2654","conserved"
"474","api1479","EfaB_PLUS_1101.g155","conserved"
"475","api148","EfaB_PLUS_37942.g2520","conserved"
"476","api148","EfaB_PLUS_20371.g1676","conserved"
"477","api1480","EfaB_PLUS_15765.g1387","conserved"
"478","api1482","EfaB_MINUS_7742.g775","conserved"
"479","api1484","EfaB_PLUS_2336.g269","conserved"
"480","api1485","EfaB_MINUS_13716.g1221","conserved"
