"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Mm_cluster_6" "BP" "GO:0006396" "RNA processing" 646 35 14.04 5.1e-07 1e-04
"Mm_cluster_6" "BP" "GO:0006397" "mRNA processing" 354 23 7.69 2.8e-06 1e-04
"Mm_cluster_6" "BP" "GO:0006412" "translation" 501 28 10.89 4.3e-06 1e-04
"Mm_cluster_6" "BP" "GO:0008380" "RNA splicing" 292 20 6.35 5.8e-06 1e-04
"Mm_cluster_6" "BP" "GO:0043043" "peptide biosynthetic process" 518 28 11.26 8.1e-06 2e-04
"Mm_cluster_6" "BP" "GO:0043604" "amide biosynthetic process" 563 29 12.24 1.4e-05 2e-04
"Mm_cluster_6" "BP" "GO:0016071" "mRNA metabolic process" 438 24 9.52 3e-05 4e-04
"Mm_cluster_6" "BP" "GO:0006518" "peptide metabolic process" 607 29 13.19 5.5e-05 7e-04
"Mm_cluster_6" "BP" "GO:0043603" "cellular amide metabolic process" 690 31 15 9.5e-05 0.001
"Mm_cluster_6" "BP" "GO:0000377" "RNA splicing, via transesterification re..." 174 13 3.78 0.00011 0.001
"Mm_cluster_6" "BP" "GO:0000398" "mRNA splicing, via spliceosome" 174 13 3.78 0.00011 0.001
"Mm_cluster_6" "BP" "GO:0000375" "RNA splicing, via transesterification re..." 175 13 3.8 0.00012 0.001
"Mm_cluster_6" "BP" "GO:0033119" "negative regulation of RNA splicing" 27 5 0.59 0.00025 0.0019
"Mm_cluster_6" "BP" "GO:0043414" "macromolecule methylation" 196 13 4.26 0.00035 0.0025
"Mm_cluster_6" "BP" "GO:0010467" "gene expression" 3486 100 75.77 0.00069 0.0046
"Mm_cluster_6" "BP" "GO:1901566" "organonitrogen compound biosynthetic pro..." 881 34 19.15 0.00075 0.0047
"Mm_cluster_6" "BP" "GO:0006413" "translational initiation" 91 8 1.98 8e-04 0.0047
"Mm_cluster_6" "BP" "GO:0032259" "methylation" 256 14 5.56 0.00143 0.0079
"Mm_cluster_6" "BP" "GO:0034641" "cellular nitrogen compound metabolic pro..." 4217 114 91.66 0.00233 0.0123
"Mm_cluster_6" "BP" "GO:0016576" "histone dephosphorylation" 4 2 0.09 0.00274 0.013
"Mm_cluster_6" "BP" "GO:0007067" "mitotic nuclear division" 367 17 7.98 0.00276 0.013
"Mm_cluster_6" "BP" "GO:0006807" "nitrogen compound metabolic process" 4417 118 96.01 0.00287 0.013
"Mm_cluster_6" "BP" "GO:0000387" "spliceosomal snRNP assembly" 29 4 0.63 0.00338 0.0147
"Mm_cluster_6" "BP" "GO:0050686" "negative regulation of mRNA processing" 31 4 0.67 0.00432 0.015
"Mm_cluster_6" "BP" "GO:0030638" "polyketide metabolic process" 5 2 0.11 0.00451 0.015
"Mm_cluster_6" "BP" "GO:0030647" "aminoglycoside antibiotic metabolic proc..." 5 2 0.11 0.00451 0.015
"Mm_cluster_6" "BP" "GO:0043985" "histone H4-R3 methylation" 5 2 0.11 0.00451 0.015
"Mm_cluster_6" "BP" "GO:0044597" "daunorubicin metabolic process" 5 2 0.11 0.00451 0.015
"Mm_cluster_6" "BP" "GO:0044598" "doxorubicin metabolic process" 5 2 0.11 0.00451 0.015
"Mm_cluster_6" "BP" "GO:0046607" "positive regulation of centrosome cycle" 5 2 0.11 0.00451 0.015
"Mm_cluster_6" "BP" "GO:0032071" "regulation of endodeoxyribonuclease acti..." 6 2 0.13 0.00666 0.0208
"Mm_cluster_6" "BP" "GO:0043615" "astrocyte cell migration" 6 2 0.13 0.00666 0.0208
"Mm_cluster_6" "BP" "GO:0016571" "histone methylation" 103 7 2.24 0.00713 0.0214
"Mm_cluster_6" "BP" "GO:0016570" "histone modification" 339 15 7.37 0.00727 0.0214
"Mm_cluster_6" "BP" "GO:0016070" "RNA metabolic process" 2927 81 63.62 0.00798 0.0217
"Mm_cluster_6" "BP" "GO:0006479" "protein methylation" 132 8 2.87 0.00813 0.0217
"Mm_cluster_6" "BP" "GO:0008213" "protein alkylation" 132 8 2.87 0.00813 0.0217
"Mm_cluster_6" "BP" "GO:0016569" "chromatin modification" 345 15 7.5 0.00848 0.0217
"Mm_cluster_6" "BP" "GO:1903312" "negative regulation of mRNA metabolic pr..." 38 4 0.83 0.00901 0.0217
"Mm_cluster_6" "BP" "GO:0031145" "anaphase-promoting complex-dependent cat..." 7 2 0.15 0.0092 0.0217
"Mm_cluster_6" "BP" "GO:0032070" "regulation of deoxyribonuclease activity" 7 2 0.15 0.0092 0.0217
"Mm_cluster_6" "BP" "GO:0034969" "histone arginine methylation" 7 2 0.15 0.0092 0.0217
"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Mm_cluster_5" "MF" "GO:0003823" "antigen binding" 60 6 1.03 0.00054 0.039
"Mm_cluster_5" "MF" "GO:0003976" "UDP-N-acetylglucosamine-lysosomal-enzyme..." 3 2 0.05 0.00086 0.039
"Mm_cluster_5" "MF" "GO:0016780" "phosphotransferase activity, for other s..." 18 3 0.31 0.00333 0.039
"Mm_cluster_5" "MF" "GO:0005126" "cytokine receptor binding" 149 8 2.55 0.00408 0.039
"Mm_cluster_5" "MF" "GO:0034987" "immunoglobulin receptor binding" 6 2 0.1 0.00418 0.039
"Mm_cluster_5" "MF" "GO:0035064" "methylated histone binding" 40 4 0.68 0.0047 0.039
"Mm_cluster_5" "MF" "GO:0042393" "histone binding" 124 7 2.12 0.00541 0.039
"Mm_cluster_5" "MF" "GO:0005164" "tumor necrosis factor receptor binding" 25 3 0.43 0.00861 0.039
"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Mm_cluster_5" "BP" "GO:0002376" "immune system process" 1490 62 25.04 3.4e-12 0
"Mm_cluster_5" "BP" "GO:0006955" "immune response" 775 42 13.02 8.2e-12 0
"Mm_cluster_5" "BP" "GO:0002250" "adaptive immune response" 241 21 4.05 6.4e-10 0
"Mm_cluster_5" "BP" "GO:0002682" "regulation of immune system process" 821 38 13.8 8.4e-09 0
"Mm_cluster_5" "BP" "GO:0042981" "regulation of apoptotic process" 1026 43 17.24 1.4e-08 0
"Mm_cluster_5" "BP" "GO:0043067" "regulation of programmed cell death" 1040 43 17.48 2.1e-08 0
"Mm_cluster_5" "BP" "GO:0001775" "cell activation" 620 31 10.42 4.3e-08 0
"Mm_cluster_5" "BP" "GO:0010941" "regulation of cell death" 1119 44 18.8 6.1e-08 0
"Mm_cluster_5" "BP" "GO:0006952" "defense response" 823 36 13.83 9.4e-08 0
"Mm_cluster_5" "BP" "GO:0050776" "regulation of immune response" 410 24 6.89 9.7e-08 0
"Mm_cluster_5" "BP" "GO:0045321" "leukocyte activation" 543 28 9.12 1.1e-07 0
"Mm_cluster_5" "BP" "GO:0045087" "innate immune response" 395 23 6.64 2e-07 0
"Mm_cluster_5" "BP" "GO:0006915" "apoptotic process" 1301 47 21.86 2.5e-07 0
"Mm_cluster_5" "BP" "GO:0002684" "positive regulation of immune system pro..." 531 27 8.92 2.6e-07 0
"Mm_cluster_5" "BP" "GO:0012501" "programmed cell death" 1323 47 22.23 4.1e-07 0
"Mm_cluster_5" "BP" "GO:0050896" "response to stimulus" 4527 110 76.07 7.2e-07 0
"Mm_cluster_5" "BP" "GO:0002460" "adaptive immune response based on somati..." 166 14 2.79 7.6e-07 0
"Mm_cluster_5" "BP" "GO:0006954" "inflammatory response" 369 21 6.2 1e-06 0
"Mm_cluster_5" "BP" "GO:0001816" "cytokine production" 434 23 7.29 1.1e-06 0
"Mm_cluster_5" "BP" "GO:0006950" "response to stress" 2197 65 36.92 1.2e-06 0
"Mm_cluster_5" "BP" "GO:0043065" "positive regulation of apoptotic process" 439 23 7.38 1.3e-06 0
"Mm_cluster_5" "BP" "GO:0009617" "response to bacterium" 283 18 4.76 1.3e-06 0
"Mm_cluster_5" "BP" "GO:0043068" "positive regulation of programmed cell d..." 443 23 7.44 1.5e-06 0
"Mm_cluster_5" "BP" "GO:0002819" "regulation of adaptive immune response" 106 11 1.78 1.6e-06 0
"Mm_cluster_5" "BP" "GO:0001817" "regulation of cytokine production" 385 21 6.47 2e-06 0
"Mm_cluster_5" "BP" "GO:0008219" "cell death" 1414 47 23.76 2.8e-06 0
"Mm_cluster_5" "BP" "GO:0002443" "leukocyte mediated immunity" 214 15 3.6 3.2e-06 0
"Mm_cluster_5" "BP" "GO:0002366" "leukocyte activation involved in immune ..." 163 13 2.74 3.6e-06 0
"Mm_cluster_5" "BP" "GO:0016337" "single organismal cell-cell adhesion" 505 24 8.49 4.1e-06 0
"Mm_cluster_5" "BP" "GO:0002263" "cell activation involved in immune respo..." 165 13 2.77 4.1e-06 0
"Mm_cluster_5" "BP" "GO:0002822" "regulation of adaptive immune response b..." 95 10 1.6 4.2e-06 0
"Mm_cluster_5" "BP" "GO:0010942" "positive regulation of cell death" 471 23 7.91 4.2e-06 0
"Mm_cluster_5" "BP" "GO:0002252" "immune effector process" 484 23 8.13 6.6e-06 0
"Mm_cluster_5" "BP" "GO:0050778" "positive regulation of immune response" 318 18 5.34 6.8e-06 0
"Mm_cluster_5" "BP" "GO:0007159" "leukocyte cell-cell adhesion" 357 19 6 9.1e-06 0
"Mm_cluster_5" "BP" "GO:0001819" "positive regulation of cytokine producti..." 263 16 4.42 9.2e-06 0
"Mm_cluster_5" "BP" "GO:0046649" "lymphocyte activation" 467 22 7.85 1.2e-05 0
"Mm_cluster_5" "BP" "GO:0002703" "regulation of leukocyte mediated immunit..." 133 11 2.23 1.4e-05 0
"Mm_cluster_5" "BP" "GO:0098609" "cell-cell adhesion" 545 24 9.16 1.5e-05 0
"Mm_cluster_5" "BP" "GO:0002449" "lymphocyte mediated immunity" 160 12 2.69 1.6e-05 0
"Mm_cluster_5" "BP" "GO:0098602" "single organism cell adhesion" 548 24 9.21 1.6e-05 0
"Mm_cluster_5" "BP" "GO:0002285" "lymphocyte activation involved in immune..." 111 10 1.87 1.7e-05 0
"Mm_cluster_5" "BP" "GO:0002683" "negative regulation of immune system pro..." 278 16 4.67 1.8e-05 0
"Mm_cluster_5" "BP" "GO:0032623" "interleukin-2 production" 50 7 0.84 1.8e-05 0
"Mm_cluster_5" "BP" "GO:0002694" "regulation of leukocyte activation" 324 17 5.44 3.3e-05 1e-04
"Mm_cluster_5" "BP" "GO:0002706" "regulation of lymphocyte mediated immuni..." 98 9 1.65 3.9e-05 1e-04
"Mm_cluster_5" "BP" "GO:0042110" "T cell activation" 330 17 5.55 4.1e-05 1e-04
"Mm_cluster_5" "BP" "GO:0070489" "T cell aggregation" 330 17 5.55 4.1e-05 1e-04
"Mm_cluster_5" "BP" "GO:0007259" "JAK-STAT cascade" 99 9 1.66 4.2e-05 1e-04
"Mm_cluster_5" "BP" "GO:0097696" "STAT cascade" 99 9 1.66 4.2e-05 1e-04
"Mm_cluster_5" "BP" "GO:0071593" "lymphocyte aggregation" 331 17 5.56 4.3e-05 1e-04
"Mm_cluster_5" "BP" "GO:0002286" "T cell activation involved in immune res..." 57 7 0.96 4.4e-05 1e-04
"Mm_cluster_5" "BP" "GO:0002274" "myeloid leukocyte activation" 126 10 2.12 5.1e-05 1e-04
"Mm_cluster_5" "BP" "GO:0070486" "leukocyte aggregation" 337 17 5.66 5.4e-05 1e-04
"Mm_cluster_5" "BP" "GO:0042267" "natural killer cell mediated cytotoxicit..." 41 6 0.69 5.8e-05 1e-04
"Mm_cluster_5" "BP" "GO:0051716" "cellular response to stimulus" 3795 90 63.77 6.3e-05 1e-04
"Mm_cluster_5" "BP" "GO:0009605" "response to external stimulus" 1145 37 19.24 7.3e-05 1e-04
"Mm_cluster_5" "BP" "GO:0007165" "signal transduction" 2897 73 48.68 7.4e-05 1e-04
"Mm_cluster_5" "BP" "GO:0046425" "regulation of JAK-STAT cascade" 83 8 1.39 7.4e-05 1e-04
"Mm_cluster_5" "BP" "GO:1904892" "regulation of STAT cascade" 83 8 1.39 7.4e-05 1e-04
"Mm_cluster_5" "BP" "GO:0002228" "natural killer cell mediated immunity" 43 6 0.72 7.6e-05 1e-04
"Mm_cluster_5" "BP" "GO:0050865" "regulation of cell activation" 348 17 5.85 8e-05 1e-04
"Mm_cluster_5" "BP" "GO:0046427" "positive regulation of JAK-STAT cascade" 44 6 0.74 8.7e-05 1e-04
"Mm_cluster_5" "BP" "GO:1904894" "positive regulation of STAT cascade" 44 6 0.74 8.7e-05 1e-04
"Mm_cluster_5" "BP" "GO:0002237" "response to molecule of bacterial origin" 190 12 3.19 8.7e-05 1e-04
"Mm_cluster_5" "BP" "GO:0048518" "positive regulation of biological proces..." 3444 83 57.87 8.8e-05 1e-04
"Mm_cluster_5" "BP" "GO:0042327" "positive regulation of phosphorylation" 612 24 10.28 9.4e-05 1e-04
"Mm_cluster_5" "BP" "GO:0002697" "regulation of immune effector process" 287 15 4.82 1e-04 1e-04
"Mm_cluster_5" "BP" "GO:0001934" "positive regulation of protein phosphory..." 582 23 9.78 0.00012 2e-04
"Mm_cluster_5" "BP" "GO:0007155" "cell adhesion" 826 29 13.88 0.00012 2e-04
"Mm_cluster_5" "BP" "GO:0048583" "regulation of response to stimulus" 2172 58 36.5 0.00012 2e-04
"Mm_cluster_5" "BP" "GO:0042088" "T-helper 1 type immune response" 30 5 0.5 0.00013 2e-04
"Mm_cluster_5" "BP" "GO:0042269" "regulation of natural killer cell mediat..." 30 5 0.5 0.00013 2e-04
"Mm_cluster_5" "BP" "GO:0048584" "positive regulation of response to stimu..." 1181 37 19.84 0.00014 2e-04
"Mm_cluster_5" "BP" "GO:0022610" "biological adhesion" 835 29 14.03 0.00015 2e-04
"Mm_cluster_5" "BP" "GO:0010562" "positive regulation of phosphorus metabo..." 670 25 11.26 0.00015 2e-04
"Mm_cluster_5" "BP" "GO:0045937" "positive regulation of phosphate metabol..." 670 25 11.26 0.00015 2e-04
"Mm_cluster_5" "BP" "GO:0002715" "regulation of natural killer cell mediat..." 31 5 0.52 0.00015 2e-04
"Mm_cluster_5" "BP" "GO:0007154" "cell communication" 3126 76 52.53 0.00016 2e-04
"Mm_cluster_5" "BP" "GO:0001909" "leukocyte mediated cytotoxicity" 70 7 1.18 0.00017 2e-04
"Mm_cluster_5" "BP" "GO:0002707" "negative regulation of lymphocyte mediat..." 32 5 0.54 0.00018 2e-04
"Mm_cluster_5" "BP" "GO:0001910" "regulation of leukocyte mediated cytotox..." 50 6 0.84 0.00018 2e-04
"Mm_cluster_5" "BP" "GO:0044700" "single organism signaling" 3082 75 51.79 0.00018 2e-04
"Mm_cluster_5" "BP" "GO:0019221" "cytokine-mediated signaling pathway" 206 12 3.46 0.00019 2e-04
"Mm_cluster_5" "BP" "GO:0023052" "signaling" 3089 75 51.91 2e-04 2e-04
"Mm_cluster_5" "BP" "GO:0043403" "skeletal muscle tissue regeneration" 18 4 0.3 2e-04 2e-04
"Mm_cluster_5" "BP" "GO:0050777" "negative regulation of immune response" 96 8 1.61 0.00021 2e-04
"Mm_cluster_5" "BP" "GO:0007166" "cell surface receptor signaling pathway" 1389 41 23.34 0.00021 2e-04
"Mm_cluster_5" "BP" "GO:0043312" "neutrophil degranulation" 8 3 0.13 0.00025 3e-04
"Mm_cluster_5" "BP" "GO:0032612" "interleukin-1 production" 54 6 0.91 0.00028 3e-04
"Mm_cluster_5" "BP" "GO:0001906" "cell killing" 77 7 1.29 3e-04 3e-04
"Mm_cluster_5" "BP" "GO:0002685" "regulation of leukocyte migration" 102 8 1.71 0.00031 3e-04
"Mm_cluster_5" "BP" "GO:0002699" "positive regulation of immune effector p..." 130 9 2.18 0.00034 4e-04
"Mm_cluster_5" "BP" "GO:0002705" "positive regulation of leukocyte mediate..." 79 7 1.33 0.00036 4e-04
"Mm_cluster_5" "BP" "GO:0050707" "regulation of cytokine secretion" 104 8 1.75 0.00036 4e-04
"Mm_cluster_5" "BP" "GO:0042246" "tissue regeneration" 21 4 0.35 0.00037 4e-04
"Mm_cluster_5" "BP" "GO:0031341" "regulation of cell killing" 57 6 0.96 0.00037 4e-04
"Mm_cluster_5" "BP" "GO:0002698" "negative regulation of immune effector p..." 80 7 1.34 0.00038 4e-04
"Mm_cluster_5" "BP" "GO:0097190" "apoptotic signaling pathway" 478 19 8.03 0.00044 4e-04
"Mm_cluster_5" "BP" "GO:0043066" "negative regulation of apoptotic process" 598 22 10.05 0.00045 4e-04
"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Mm_cluster_3" "MF" "GO:0004653" "polypeptide N-acetylgalactosaminyltransf..." 9 3 0.18 6e-04 0.0411
"Mm_cluster_3" "MF" "GO:0097322" "7SK snRNA binding" 3 2 0.06 0.0012 0.0411
"Mm_cluster_3" "MF" "GO:0004594" "pantothenate kinase activity" 4 2 0.08 0.0023 0.0411
"Mm_cluster_3" "MF" "GO:1901618" "organic hydroxy compound transmembrane t..." 15 3 0.3 0.003 0.0411
"Mm_cluster_3" "MF" "GO:0042577" "lipid phosphatase activity" 6 2 0.12 0.0056 0.0411
"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Mm_cluster_3" "BP" "GO:0021527" "spinal cord association neuron different..." 2 2 0.04 0.00039 0.0189
"Mm_cluster_3" "BP" "GO:0071280" "cellular response to copper ion" 3 2 0.06 0.00116 0.0189
"Mm_cluster_3" "BP" "GO:1903793" "positive regulation of anion transport" 24 4 0.48 0.00117 0.0189
"Mm_cluster_3" "BP" "GO:0046854" "phosphatidylinositol phosphorylation" 25 4 0.5 0.00137 0.0189
"Mm_cluster_3" "BP" "GO:0061512" "protein localization to cilium" 25 4 0.5 0.00137 0.0189
"Mm_cluster_3" "BP" "GO:0030258" "lipid modification" 140 9 2.77 0.00187 0.0189
"Mm_cluster_3" "BP" "GO:0015936" "coenzyme A metabolic process" 13 3 0.26 0.0019 0.0189
"Mm_cluster_3" "BP" "GO:0021516" "dorsal spinal cord development" 4 2 0.08 0.00228 0.0189
"Mm_cluster_3" "BP" "GO:0060830" "ciliary receptor clustering involved in ..." 4 2 0.08 0.00228 0.0189
"Mm_cluster_3" "BP" "GO:0060971" "embryonic heart tube left/right pattern ..." 4 2 0.08 0.00228 0.0189
"Mm_cluster_3" "BP" "GO:0046834" "lipid phosphorylation" 29 4 0.57 0.00242 0.0189
"Mm_cluster_3" "BP" "GO:0046486" "glycerolipid metabolic process" 205 11 4.06 0.00259 0.0189
"Mm_cluster_3" "BP" "GO:0021522" "spinal cord motor neuron differentiation" 16 3 0.32 0.00355 0.0189
"Mm_cluster_3" "BP" "GO:0019087" "transformation of host cell by virus" 5 2 0.1 0.00376 0.0189
"Mm_cluster_3" "BP" "GO:0032484" "Ral protein signal transduction" 5 2 0.1 0.00376 0.0189
"Mm_cluster_3" "BP" "GO:0048842" "positive regulation of axon extension in..." 5 2 0.1 0.00376 0.0189
"Mm_cluster_3" "BP" "GO:0072488" "ammonium transmembrane transport" 5 2 0.1 0.00376 0.0189
"Mm_cluster_3" "BP" "GO:1902669" "positive regulation of axon guidance" 5 2 0.1 0.00376 0.0189
"Mm_cluster_3" "BP" "GO:0007033" "vacuole organization" 156 9 3.09 0.00388 0.0189
"Mm_cluster_3" "BP" "GO:0033865" "nucleoside bisphosphate metabolic proces..." 17 3 0.34 0.00425 0.0189
"Mm_cluster_3" "BP" "GO:0033875" "ribonucleoside bisphosphate metabolic pr..." 17 3 0.34 0.00425 0.0189
"Mm_cluster_3" "BP" "GO:0034032" "purine nucleoside bisphosphate metabolic..." 17 3 0.34 0.00425 0.0189
"Mm_cluster_3" "BP" "GO:0042073" "intraciliary transport" 35 4 0.69 0.00486 0.0189
"Mm_cluster_3" "BP" "GO:0044088" "regulation of vacuole organization" 35 4 0.69 0.00486 0.0189
"Mm_cluster_3" "BP" "GO:0098840" "protein transport along microtubule" 35 4 0.69 0.00486 0.0189
"Mm_cluster_3" "BP" "GO:0044070" "regulation of anion transport" 56 5 1.11 0.00491 0.0189
"Mm_cluster_3" "BP" "GO:0021514" "ventral spinal cord interneuron differen..." 6 2 0.12 0.00556 0.0198
"Mm_cluster_3" "BP" "GO:0021515" "cell differentiation in spinal cord" 19 3 0.38 0.00589 0.0198
"Mm_cluster_3" "BP" "GO:0021517" "ventral spinal cord development" 19 3 0.38 0.00589 0.0198
"Mm_cluster_3" "BP" "GO:0009410" "response to xenobiotic stimulus" 37 4 0.73 0.00594 0.0198
"Mm_cluster_3" "BP" "GO:0044255" "cellular lipid metabolic process" 630 22 12.48 0.00701 0.0198
"Mm_cluster_3" "BP" "GO:0006729" "tetrahydrobiopterin biosynthetic process" 7 2 0.14 0.00769 0.0198
"Mm_cluster_3" "BP" "GO:0014049" "positive regulation of glutamate secreti..." 7 2 0.14 0.00769 0.0198
"Mm_cluster_3" "BP" "GO:0046146" "tetrahydrobiopterin metabolic process" 7 2 0.14 0.00769 0.0198
"Mm_cluster_3" "BP" "GO:0070050" "neuron cellular homeostasis" 7 2 0.14 0.00769 0.0198
"Mm_cluster_3" "BP" "GO:0097094" "craniofacial suture morphogenesis" 7 2 0.14 0.00769 0.0198
"Mm_cluster_3" "BP" "GO:1901642" "nucleoside transmembrane transport" 7 2 0.14 0.00769 0.0198
"Mm_cluster_3" "BP" "GO:0021510" "spinal cord development" 40 4 0.79 0.00785 0.0198
"Mm_cluster_3" "BP" "GO:0006644" "phospholipid metabolic process" 238 11 4.72 0.00788 0.0198
"Mm_cluster_3" "BP" "GO:0051188" "cofactor biosynthetic process" 117 7 2.32 0.00862 0.0198
"Mm_cluster_3" "BP" "GO:0042180" "cellular ketone metabolic process" 118 7 2.34 0.00901 0.0198
"Mm_cluster_3" "BP" "GO:0071901" "negative regulation of protein serine/th..." 91 6 1.8 0.00933 0.0198
"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Mm_cluster_4" "MF" "GO:0019166" "trans-2-enoyl-CoA reductase (NADPH) acti..." 3 2 0.07 0.0015 0.0284
"Mm_cluster_4" "MF" "GO:0005102" "receptor binding" 889 34 20.21 0.0019 0.0284
"Mm_cluster_4" "MF" "GO:0047391" "alkylglycerophosphoethanolamine phosphod..." 4 2 0.09 0.003 0.0284
"Mm_cluster_4" "MF" "GO:0004190" "aspartic-type endopeptidase activity" 15 3 0.34 0.0043 0.0284
"Mm_cluster_4" "MF" "GO:0031683" "G-protein beta/gamma-subunit complex bin..." 15 3 0.34 0.0043 0.0284
"Mm_cluster_4" "MF" "GO:0070001" "aspartic-type peptidase activity" 15 3 0.34 0.0043 0.0284
"Mm_cluster_4" "MF" "GO:0004197" "cysteine-type endopeptidase activity" 57 5 1.3 0.0094 0.0284
"Mm_cluster_4" "MF" "GO:0016922" "ligand-dependent nuclear receptor bindin..." 20 3 0.45 0.0099 0.0284
"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Mm_cluster_4" "BP" "GO:0070886" "positive regulation of calcineurin-NFAT ..." 5 3 0.11 0.00011 0.007
"Mm_cluster_4" "BP" "GO:0048016" "inositol phosphate-mediated signaling" 23 5 0.52 0.00014 0.007
"Mm_cluster_4" "BP" "GO:0050817" "coagulation" 120 10 2.72 0.00039 0.013
"Mm_cluster_4" "BP" "GO:0007033" "vacuole organization" 156 11 3.53 0.00084 0.0147
"Mm_cluster_4" "BP" "GO:0007596" "blood coagulation" 118 9 2.67 0.00143 0.0147
"Mm_cluster_4" "BP" "GO:0023052" "signaling" 3089 92 69.98 0.00161 0.0147
"Mm_cluster_4" "BP" "GO:0007599" "hemostasis" 120 9 2.72 0.00161 0.0147
"Mm_cluster_4" "BP" "GO:0007006" "mitochondrial membrane organization" 76 7 1.72 0.00163 0.0147
"Mm_cluster_4" "BP" "GO:0070884" "regulation of calcineurin-NFAT signaling..." 11 3 0.25 0.00166 0.0147
"Mm_cluster_4" "BP" "GO:0006120" "mitochondrial electron transport, NADH t..." 12 3 0.27 0.00217 0.0147
"Mm_cluster_4" "BP" "GO:0043588" "skin development" 150 10 3.4 0.00218 0.0147
"Mm_cluster_4" "BP" "GO:0044700" "single organism signaling" 3082 91 69.82 0.00228 0.0147
"Mm_cluster_4" "BP" "GO:0007154" "cell communication" 3126 92 70.82 0.00236 0.0147
"Mm_cluster_4" "BP" "GO:0035898" "parathyroid hormone secretion" 4 2 0.09 0.00298 0.0147
"Mm_cluster_4" "BP" "GO:0060684" "epithelial-mesenchymal cell signaling" 4 2 0.09 0.00298 0.0147
"Mm_cluster_4" "BP" "GO:0050701" "interleukin-1 secretion" 27 4 0.61 0.003 0.0147
